Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,km/h,,,,,km,G,G,G,kW,kW,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,%,,,,%,mm,mm
5299.00000,0.00000,0.75086,10.59800,273.36440,1.00000,0.00000,0.00000,0.00000,0.00000,513.28530,139.28270,2357.73900,-2.09354,120.27070,0.28393,65.61770,100.00000,0.00000,1.00000,135.15450,0.00000,0.00000,0.00000,4.00000,0.27268,11.50478,0.45174,-0.10291,241.46700,552.63800,794.10500,345.67250,0.62830,1118.75700,1105.27600,950.04250,-701.06300,1999.72200,4069.89100,150.19580,150.43290,149.90770,150.54960,187.35150,48.15316,63.85601,57.33794,72.79581,1117.71600,1115.93800,1109.88100,1110.19900,57.59998,2.10478,3.70202,1.13149,36.24677,61.00000,68.00000
5309.00000,0.02000,1.51895,10.61800,274.13250,1.00000,0.00000,0.00000,0.00000,0.00000,513.86130,139.30960,2357.24200,-1.98010,124.11650,-0.07898,60.24660,100.00000,0.00000,1.00000,135.91240,0.00000,0.00000,0.00000,4.00000,-0.00007,9.34034,1.18477,-0.62406,272.22000,527.77900,799.99900,799.99920,0.00402,1154.12100,1164.79900,-693.96960,-274.89210,1923.99100,3547.19300,155.88640,155.61950,161.39240,161.70790,279.35360,49.48410,61.85448,59.80879,73.38971,1156.28300,1159.68900,1171.10900,1173.60600,65.59999,2.13084,3.60549,1.11119,37.14633,62.00000,74.00000
5319.00000,0.04000,2.29024,10.63800,274.90380,1.00000,0.00000,0.00000,0.00000,0.00000,514.37900,139.33340,2356.67400,-1.81415,129.80990,-0.56509,53.25390,100.00000,0.00000,1.00000,136.26220,0.00000,0.00000,0.00000,4.00000,0.00070,11.31706,0.98084,-0.11737,297.32500,486.40100,783.72600,797.77400,0.00845,1189.30200,1255.95400,-1080.48200,-546.25510,2086.39400,3062.65100,161.70790,161.25270,170.34560,170.03580,371.71180,51.06652,59.68135,62.67282,73.70233,1191.91200,1192.71900,1258.54600,1260.43900,73.60001,2.09796,3.48016,1.08986,37.61052,62.00000,75.00000
5329.00000,0.06000,3.04325,10.65800,275.65680,1.00000,0.00000,0.00000,0.00000,0.00000,514.82720,139.35410,2356.04800,-1.61313,137.21330,-0.89349,22.91180,100.00000,0.00000,1.00000,135.59140,0.00000,0.00000,0.00000,4.00000,0.00147,-7.34847,1.80209,0.11278,300.00000,477.97600,777.97600,791.15670,0.01277,1232.43100,1304.77000,-580.86070,-1190.76100,2087.02000,2882.10900,162.00110,162.71230,176.02630,176.02670,324.59420,51.23827,57.67944,64.49163,72.77695,1231.39100,1234.96600,1310.47400,1309.94800,81.60002,1.91608,3.39100,1.05913,36.10424,60.00000,72.00000
5339.00000,0.08000,3.78676,10.67800,276.40040,1.00000,0.00000,0.00000,0.00000,0.00000,515.29100,139.37450,2355.46100,-1.43097,143.63540,-0.78955,22.86000,100.00000,0.00000,1.00000,133.26560,0.00000,0.00000,0.00000,4.00000,0.00222,-7.27646,0.82350,-0.11751,300.00000,431.83500,731.83500,783.13080,0.01699,1207.91600,1349.52300,1154.07600,-487.88610,2234.44200,2593.38600,160.62600,162.01690,181.65420,182.08640,233.78700,50.63882,58.24593,65.99623,73.12521,1207.72900,1208.41300,1352.38300,1353.42000,89.60004,1.91315,3.30311,1.03215,36.67665,59.00000,73.00000
5349.00000,0.10000,4.54504,10.69800,277.15860,1.00000,0.00000,0.00000,0.00000,0.00000,515.81160,139.39770,2354.92900,-1.35053,148.21080,-0.30200,22.40990,100.00000,0.00000,1.00000,130.15640,0.00000,0.00000,0.00000,4.00000,0.00296,-7.82560,0.61110,0.49787,300.00000,410.30800,710.30800,769.36180,0.02094,1229.18300,1373.53800,1540.36300,716.42500,2072.17300,2618.73200,164.76610,166.84000,181.05500,183.23160,139.74470,49.26989,58.90751,60.17849,73.81999,1231.96300,1231.79900,1375.55300,1374.35000,97.60005,1.77505,3.19261,1.00447,35.73211,60.00000,69.00000
5359.00000,0.12000,5.25608,10.71800,277.94410,1.00000,0.00000,0.00000,0.00000,0.00000,516.40000,139.42300,2354.44300,-1.30188,150.91640,-0.00943,21.70800,100.00000,0.00000,1.00000,127.98790,0.00000,0.00000,0.00000,4.00000,0.00373,-3.71432,1.13535,0.08622,300.00000,433.29400,733.29400,762.02450,0.02497,1264.67500,1387.86800,1422.04000,1206.03900,2004.71800,2701.84200,169.87600,171.86650,183.94590,186.26630,65.46250,48.91610,59.50019,58.37819,74.80392,1267.82500,1267.57300,1388.40700,1388.78200,100.00000,1.53545,3.15253,0.99004,32.75294,61.00000,70.00000
5369.00000,0.14000,5.96213,10.73800,278.74680,1.00000,0.00000,0.00000,0.00000,0.00000,517.04490,139.44940,2353.98700,-1.25684,152.17450,-0.03101,21.25790,100.00000,0.00000,1.00000,127.08940,0.00000,0.00000,0.00000,4.00000,0.00451,-1.07717,0.90865,-0.00376,300.00000,446.67300,746.67300,758.89630,0.02908,1306.44000,1410.02400,1168.41600,1042.97800,1909.55600,2712.70700,176.95990,178.55460,187.29440,188.70520,30.97923,49.29972,60.31153,59.02690,75.32680,1310.53800,1310.11300,1411.86400,1411.43200,100.00000,1.50522,3.12705,0.99217,32.49413,62.00000,72.00000
5379.00000,0.16000,6.66765,10.75800,279.55790,1.00000,0.00000,0.00000,0.00000,0.00000,517.71470,139.47530,2353.54100,-1.20438,152.75700,-0.20932,20.61000,100.00000,0.00000,1.00000,126.99310,0.00000,0.00000,0.00000,4.00000,0.00532,2.89540,0.94511,-0.15684,300.00000,473.46700,773.46700,759.04490,0.03331,1360.23200,1427.33400,521.05930,427.68710,1880.88200,2883.55700,182.91150,183.65350,190.79500,191.85010,15.61305,50.06894,60.13635,60.14335,75.61224,1362.61000,1359.75800,1428.73400,1429.27000,100.00000,1.66326,3.14769,0.99685,34.57242,62.00000,76.00000
