x;y;u;v;column;row
0.0000;0.0000;0.0165;0.0168;0;0
0.0345;0.0000;0.0568;0.0260;1;0
0.0690;0.0000;0.0959;0.0344;2;0
0.1034;0.0000;0.1338;0.0420;3;0
0.1379;0.0000;0.1706;0.0489;4;0
0.1724;0.0000;0.2065;0.0551;5;0
0.2069;0.0000;0.2417;0.0605;6;0
0.2414;0.0000;0.2760;0.0653;7;0
0.2759;0.0000;0.3098;0.0694;8;0
0.3103;0.0000;0.3431;0.0729;9;0
0.3448;0.0000;0.3760;0.0757;10;0
0.3793;0.0000;0.4085;0.0779;11;0
0.4138;0.0000;0.4408;0.0795;12;0
0.4483;0.0000;0.4729;0.0805;13;0
0.4828;0.0000;0.5049;0.0809;14;0
0.5172;0.0000;0.5370;0.0807;15;0
0.5517;0.0000;0.5691;0.0799;16;0
0.5862;0.0000;0.6014;0.0784;17;0
0.6207;0.0000;0.6340;0.0764;18;0
0.6552;0.0000;0.6670;0.0737;19;0
0.6897;0.0000;0.7004;0.0703;20;0
0.7241;0.0000;0.7343;0.0663;21;0
0.7586;0.0000;0.7689;0.0617;22;0
0.7931;0.0000;0.8043;0.0563;23;0
0.8276;0.0000;0.8405;0.0502;24;0
0.8621;0.0000;0.8777;0.0434;25;0
0.8966;0.0000;0.9160;0.0357;26;0
0.9310;0.0000;0.9555;0.0273;27;0
0.9655;0.0000;0.9964;0.0180;28;0
1.0000;0.0000;1.0388;0.0079;29;0
0.0000;0.0526;0.0165;0.0698;0;1
0.0345;0.0526;0.0568;0.0784;1;1
0.0690;0.0526;0.0959;0.0863;2;1
0.1034;0.0526;0.1338;0.0934;3;1
0.1379;0.0526;0.1706;0.0998;4;1
0.1724;0.0526;0.2065;0.1055;5;1
0.2069;0.0526;0.2417;0.1106;6;1
0.2414;0.0526;0.2760;0.1151;7;1
0.2759;0.0526;0.3098;0.1189;8;1
0.3103;0.0526;0.3431;0.1222;9;1
0.3448;0.0526;0.3760;0.1249;10;1
0.3793;0.0526;0.4085;0.1269;11;1
0.4138;0.0526;0.4408;0.1284;12;1
0.4483;0.0526;0.4729;0.1294;13;1
0.4828;0.0526;0.5049;0.1298;14;1
0.5172;0.0526;0.5370;0.1296;15;1
0.5517;0.0526;0.5691;0.1288;16;1
0.5862;0.0526;0.6014;0.1275;17;1
0.6207;0.0526;0.6340;0.1256;18;1
0.6552;0.0526;0.6670;0.1232;19;1
0.6897;0.0526;0.7004;0.1201;20;1
0.7241;0.0526;0.7343;0.1164;21;1
0.7586;0.0526;0.7689;0.1121;22;1
0.7931;0.0526;0.8043;0.1071;23;1
0.8276;0.0526;0.8405;0.1015;24;1
0.8621;0.0526;0.8777;0.0952;25;1
0.8966;0.0526;0.9160;0.0881;26;1
0.9310;0.0526;0.9555;0.0803;27;1
0.9655;0.0526;0.9964;0.0717;28;1
1.0000;0.0526;1.0388;0.0624;29;1
0.0000;0.1053;0.0165;0.1229;0;2
0.0345;0.1053;0.0568;0.1308;1;2
0.0690;0.1053;0.0959;0.1381;2;2
0.1034;0.1053;0.1338;0.1447;3;2
0.1379;0.1053;0.1706;0.1507;4;2
0.1724;0.1053;0.2065;0.1560;5;2
0.2069;0.1053;0.2417;0.1607;6;2
0.2414;0.1053;0.2760;0.1649;7;2
0.2759;0.1053;0.3098;0.1685;8;2
0.3103;0.1053;0.3431;0.1715;9;2
0.3448;0.1053;0.3760;0.1740;10;2
0.3793;0.1053;0.4085;0.1759;11;2
0.4138;0.1053;0.4408;0.1773;12;2
0.4483;0.1053;0.4729;0.1782;13;2
0.4828;0.1053;0.5049;0.1786;14;2
0.5172;0.1053;0.5370;0.1785;15;2
0.5517;0.1053;0.5691;0.1778;16;2
0.5862;0.1053;0.6014;0.1766;17;2
0.6207;0.1053;0.6340;0.1749;18;2
0.6552;0.1053;0.6670;0.1726;19;2
0.6897;0.1053;0.7004;0.1698;20;2
0.7241;0.1053;0.7343;0.1665;21;2
0.7586;0.1053;0.7689;0.1625;22;2
0.7931;0.1053;0.8043;0.1580;23;2
0.8276;0.1053;0.8405;0.1528;24;2
0.8621;0.1053;0.8777;0.1470;25;2
0.8966;0.1053;0.9160;0.1405;26;2
0.9310;0.1053;0.9555;0.1333;27;2
0.9655;0.1053;0.9964;0.1255;28;2
1.0000;0.1053;1.0388;0.1168;29;2
0.0000;0.1579;0.0165;0.1759;0;3
0.0345;0.1579;0.0568;0.1833;1;3
0.0690;0.1579;0.0959;0.1900;2;3
0.1034;0.1579;0.1338;0.1961;3;3
0.1379;0.1579;0.1706;0.2015;4;3
0.1724;0.1579;0.2065;0.2065;5;3
0.2069;0.1579;0.2417;0.2108;6;3
0.2414;0.1579;0.2760;0.2147;7;3
0.2759;0.1579;0.3098;0.2180;8;3
0.3103;0.1579;0.3431;0.2208;9;3
0.3448;0.1579;0.3760;0.2231;10;3
0.3793;0.1579;0.4085;0.2249;11;3
0.4138;0.1579;0.4408;0.2262;12;3
0.4483;0.1579;0.4729;0.2271;13;3
0.4828;0.1579;0.5049;0.2275;14;3
0.5172;0.1579;0.5370;0.2274;15;3
0.5517;0.1579;0.5691;0.2268;16;3
0.5862;0.1579;0.6014;0.2257;17;3
0.6207;0.1579;0.6340;0.2242;18;3
0.6552;0.1579;0.6670;0.2221;19;3
0.6897;0.1579;0.7004;0.2196;20;3
0.7241;0.1579;0.7343;0.2165;21;3
0.7586;0.1579;0.7689;0.2129;22;3
0.7931;0.1579;0.8043;0.2088;23;3
0.8276;0.1579;0.8405;0.2041;24;3
0.8621;0.1579;0.8777;0.1988;25;3
0.8966;0.1579;0.9160;0.1929;26;3
0.9310;0.1579;0.9555;0.1864;27;3
0.9655;0.1579;0.9964;0.1792;28;3
1.0000;0.1579;1.0388;0.1713;29;3
0.0000;0.2105;0.0165;0.2290;0;4
0.0345;0.2105;0.0568;0.2357;1;4
0.0690;0.2105;0.0959;0.2418;2;4
0.1034;0.2105;0.1338;0.2474;3;4
0.1379;0.2105;0.1706;0.2524;4;4
0.1724;0.2105;0.2065;0.2569;5;4
0.2069;0.2105;0.2417;0.2609;6;4
0.2414;0.2105;0.2760;0.2645;7;4
0.2759;0.2105;0.3098;0.2675;8;4
0.3103;0.2105;0.3431;0.2701;9;4
0.3448;0.2105;0.3760;0.2722;10;4
0.3793;0.2105;0.4085;0.2739;11;4
0.4138;0.2105;0.4408;0.2751;12;4
0.4483;0.2105;0.4729;0.2759;13;4
0.4828;0.2105;0.5049;0.2763;14;4
0.5172;0.2105;0.5370;0.2763;15;4
0.5517;0.2105;0.5691;0.2758;16;4
0.5862;0.2105;0.6014;0.2748;17;4
0.6207;0.2105;0.6340;0.2734;18;4
0.6552;0.2105;0.6670;0.2716;19;4
0.6897;0.2105;0.7004;0.2693;20;4
0.7241;0.2105;0.7343;0.2666;21;4
0.7586;0.2105;0.7689;0.2634;22;4
0.7931;0.2105;0.8043;0.2596;23;4
0.8276;0.2105;0.8405;0.2554;24;4
0.8621;0.2105;0.8777;0.2506;25;4
0.8966;0.2105;0.9160;0.2453;26;4
0.9310;0.2105;0.9555;0.2394;27;4
0.9655;0.2105;0.9964;0.2329;28;4
1.0000;0.2105;1.0388;0.2257;29;4
0.0000;0.2632;0.0165;0.2820;0;5
0.0345;0.2632;0.0568;0.2881;1;5
0.0690;0.2632;0.0959;0.2937;2;5
0.1034;0.2632;0.1338;0.2987;3;5
0.1379;0.2632;0.1706;0.3033;4;5
0.1724;0.2632;0.2065;0.3074;5;5
0.2069;0.2632;0.2417;0.3110;6;5
0.2414;0.2632;0.2760;0.3142;7;5
0.2759;0.2632;0.3098;0.3170;8;5
0.3103;0.2632;0.3431;0.3194;9;5
0.3448;0.2632;0.3760;0.3213;10;5
0.3793;0.2632;0.4085;0.3229;11;5
0.4138;0.2632;0.4408;0.3240;12;5
0.4483;0.2632;0.4729;0.3248;13;5
0.4828;0.2632;0.5049;0.3252;14;5
0.5172;0.2632;0.5370;0.3251;15;5
0.5517;0.2632;0.5691;0.3247;16;5
0.5862;0.2632;0.6014;0.3239;17;5
0.6207;0.2632;0.6340;0.3227;18;5
0.6552;0.2632;0.6670;0.3211;19;5
0.6897;0.2632;0.7004;0.3191;20;5
0.7241;0.2632;0.7343;0.3167;21;5
0.7586;0.2632;0.7689;0.3138;22;5
0.7931;0.2632;0.8043;0.3105;23;5
0.8276;0.2632;0.8405;0.3067;24;5
0.8621;0.2632;0.8777;0.3024;25;5
0.8966;0.2632;0.9160;0.2977;26;5
0.9310;0.2632;0.9555;0.2924;27;5
0.9655;0.2632;0.9964;0.2866;28;5
1.0000;0.2632;1.0388;0.2802;29;5
0.0000;0.3158;0.0165;0.3351;0;6
0.0345;0.3158;0.0568;0.3405;1;6
0.0690;0.3158;0.0959;0.3455;2;6
0.1034;0.3158;0.1338;0.3501;3;6
0.1379;0.3158;0.1706;0.3542;4;6
0.1724;0.3158;0.2065;0.3579;5;6
0.2069;0.3158;0.2417;0.3611;6;6
0.2414;0.3158;0.2760;0.3640;7;6
0.2759;0.3158;0.3098;0.3665;8;6
0.3103;0.3158;0.3431;0.3687;9;6
0.3448;0.3158;0.3760;0.3705;10;6
0.3793;0.3158;0.4085;0.3719;11;6
0.4138;0.3158;0.4408;0.3729;12;6
0.4483;0.3158;0.4729;0.3736;13;6
0.4828;0.3158;0.5049;0.3740;14;6
0.5172;0.3158;0.5370;0.3740;15;6
0.5517;0.3158;0.5691;0.3737;16;6
0.5862;0.3158;0.6014;0.3730;17;6
0.6207;0.3158;0.6340;0.3720;18;6
0.6552;0.3158;0.6670;0.3706;19;6
0.6897;0.3158;0.7004;0.3688;20;6
0.7241;0.3158;0.7343;0.3667;21;6
0.7586;0.3158;0.7689;0.3642;22;6
0.7931;0.3158;0.8043;0.3613;23;6
0.8276;0.3158;0.8405;0.3580;24;6
0.8621;0.3158;0.8777;0.3542;25;6
0.8966;0.3158;0.9160;0.3500;26;6
0.9310;0.3158;0.9555;0.3454;27;6
0.9655;0.3158;0.9964;0.3403;28;6
1.0000;0.3158;1.0388;0.3347;29;6
0.0000;0.3684;0.0165;0.3881;0;7
0.0345;0.3684;0.0568;0.3929;1;7
0.0690;0.3684;0.0959;0.3974;2;7
0.1034;0.3684;0.1338;0.4014;3;7
0.1379;0.3684;0.1706;0.4050;4;7
0.1724;0.3684;0.2065;0.4083;5;7
0.2069;0.3684;0.2417;0.4112;6;7
0.2414;0.3684;0.2760;0.4138;7;7
0.2759;0.3684;0.3098;0.4161;8;7
0.3103;0.3684;0.3431;0.4180;9;7
0.3448;0.3684;0.3760;0.4196;10;7
0.3793;0.3684;0.4085;0.4209;11;7
0.4138;0.3684;0.4408;0.4218;12;7
0.4483;0.3684;0.4729;0.4225;13;7
0.4828;0.3684;0.5049;0.4229;14;7
0.5172;0.3684;0.5370;0.4229;15;7
0.5517;0.3684;0.5691;0.4227;16;7
0.5862;0.3684;0.6014;0.4221;17;7
0.6207;0.3684;0.6340;0.4213;18;7
0.6552;0.3684;0.6670;0.4201;19;7
0.6897;0.3684;0.7004;0.4186;20;7
0.7241;0.3684;0.7343;0.4168;21;7
0.7586;0.3684;0.7689;0.4146;22;7
0.7931;0.3684;0.8043;0.4121;23;7
0.8276;0.3684;0.8405;0.4093;24;7
0.8621;0.3684;0.8777;0.4060;25;7
0.8966;0.3684;0.9160;0.4024;26;7
0.9310;0.3684;0.9555;0.3984;27;7
0.9655;0.3684;0.9964;0.3940;28;7
1.0000;0.3684;1.0388;0.3891;29;7
0.0000;0.4211;0.0165;0.4412;0;8
0.0345;0.4211;0.0568;0.4454;1;8
0.0690;0.4211;0.0959;0.4492;2;8
0.1034;0.4211;0.1338;0.4527;3;8
0.1379;0.4211;0.1706;0.4559;4;8
