x;y;u;v;column;row
0.0000;0.0000;-0.0000;0.0000;0;0
0.0345;0.0000;0.0345;0.0000;1;0
0.0690;0.0000;0.0690;0.0000;2;0
0.1034;0.0000;0.1034;0.0000;3;0
0.1379;0.0000;0.1379;0.0000;4;0
0.1724;0.0000;0.1724;0.0000;5;0
0.2069;0.0000;0.2069;0.0000;6;0
0.2414;0.0000;0.2414;0.0000;7;0
0.2759;0.0000;0.2759;-0.0000;8;0
0.3103;0.0000;0.3103;-0.0000;9;0
0.3448;0.0000;0.3448;-0.0000;10;0
0.3793;0.0000;0.3793;-0.0000;11;0
0.4138;0.0000;0.4138;0.0000;12;0
0.4483;0.0000;0.4483;0.0000;13;0
0.4828;0.0000;0.4828;0.0000;14;0
0.5172;0.0000;0.5172;0.0000;15;0
0.5517;0.0000;0.5517;-0.0000;16;0
0.5862;0.0000;0.5862;-0.0000;17;0
0.6207;0.0000;0.6207;-0.0000;18;0
0.6552;0.0000;0.6552;-0.0000;19;0
0.6897;0.0000;0.6897;-0.0000;20;0
0.7241;0.0000;0.7241;-0.0000;21;0
0.7586;0.0000;0.7586;-0.0000;22;0
0.7931;0.0000;0.7931;-0.0000;23;0
0.8276;0.0000;0.8276;-0.0000;24;0
0.8621;0.0000;0.8621;-0.0000;25;0
0.8966;0.0000;0.8966;-0.0000;26;0
0.9310;0.0000;0.9310;-0.0000;27;0
0.9655;0.0000;0.9655;-0.0000;28;0
1.0000;0.0000;1.0000;-0.0000;29;0
0.0000;0.0526;-0.0000;0.0526;0;1
0.0345;0.0526;0.0345;0.0526;1;1
0.0690;0.0526;0.0690;0.0526;2;1
0.1034;0.0526;0.1034;0.0526;3;1
0.1379;0.0526;0.1379;0.0526;4;1
0.1724;0.0526;0.1724;0.0526;5;1
0.2069;0.0526;0.2069;0.0526;6;1
0.2414;0.0526;0.2414;0.0526;7;1
0.2759;0.0526;0.2759;0.0526;8;1
0.3103;0.0526;0.3103;0.0526;9;1
0.3448;0.0526;0.3448;0.0526;10;1
0.3793;0.0526;0.3793;0.0526;11;1
0.4138;0.0526;0.4138;0.0526;12;1
0.4483;0.0526;0.4483;0.0526;13;1
0.4828;0.0526;0.4828;0.0526;14;1
0.5172;0.0526;0.5172;0.0526;15;1
0.5517;0.0526;0.5517;0.0526;16;1
0.5862;0.0526;0.5862;0.0526;17;1
0.6207;0.0526;0.6207;0.0526;18;1
0.6552;0.0526;0.6552;0.0526;19;1
0.6897;0.0526;0.6897;0.0526;20;1
0.7241;0.0526;0.7241;0.0526;21;1
0.7586;0.0526;0.7586;0.0526;22;1
0.7931;0.0526;0.7931;0.0526;23;1
0.8276;0.0526;0.8276;0.0526;24;1
0.8621;0.0526;0.8621;0.0526;25;1
0.8966;0.0526;0.8966;0.0526;26;1
0.9310;0.0526;0.9310;0.0526;27;1
0.9655;0.0526;0.9655;0.0526;28;1
1.0000;0.0526;1.0000;0.0526;29;1
0.0000;0.1053;-0.0000;0.1053;0;2
0.0345;0.1053;0.0345;0.1053;1;2
0.0690;0.1053;0.0690;0.1053;2;2
0.1034;0.1053;0.1034;0.1053;3;2
0.1379;0.1053;0.1379;0.1053;4;2
0.1724;0.1053;0.1724;0.1053;5;2
0.2069;0.1053;0.2069;0.1053;6;2
0.2414;0.1053;0.2414;0.1053;7;2
0.2759;0.1053;0.2759;0.1053;8;2
0.3103;0.1053;0.3103;0.1053;9;2
0.3448;0.1053;0.3448;0.1053;10;2
0.3793;0.1053;0.3793;0.1053;11;2
0.4138;0.1053;0.4138;0.1053;12;2
0.4483;0.1053;0.4483;0.1053;13;2
0.4828;0.1053;0.4828;0.1053;14;2
0.5172;0.1053;0.5172;0.1053;15;2
0.5517;0.1053;0.5517;0.1053;16;2
0.5862;0.1053;0.5862;0.1053;17;2
0.6207;0.1053;0.6207;0.1053;18;2
0.6552;0.1053;0.6552;0.1053;19;2
0.6897;0.1053;0.6897;0.1053;20;2
0.7241;0.1053;0.7241;0.1053;21;2
0.7586;0.1053;0.7586;0.1053;22;2
0.7931;0.1053;0.7931;0.1053;23;2
0.8276;0.1053;0.8276;0.1053;24;2
0.8621;0.1053;0.8621;0.1053;25;2
0.8966;0.1053;0.8966;0.1053;26;2
0.9310;0.1053;0.9310;0.1053;27;2
0.9655;0.1053;0.9655;0.1053;28;2
1.0000;0.1053;1.0000;0.1053;29;2
0.0000;0.1579;0.0000;0.1579;0;3
0.0345;0.1579;0.0345;0.1579;1;3
0.0690;0.1579;0.0690;0.1579;2;3
0.1034;0.1579;0.1034;0.1579;3;3
0.1379;0.1579;0.1379;0.1579;4;3
0.1724;0.1579;0.1724;0.1579;5;3
0.2069;0.1579;0.2069;0.1579;6;3
0.2414;0.1579;0.2414;0.1579;7;3
0.2759;0.1579;0.2759;0.1579;8;3
0.3103;0.1579;0.3103;0.1579;9;3
0.3448;0.1579;0.3448;0.1579;10;3
0.3793;0.1579;0.3793;0.1579;11;3
0.4138;0.1579;0.4138;0.1579;12;3
0.4483;0.1579;0.4483;0.1579;13;3
0.4828;0.1579;0.4828;0.1579;14;3
0.5172;0.1579;0.5172;0.1579;15;3
0.5517;0.1579;0.5517;0.1579;16;3
0.5862;0.1579;0.5862;0.1579;17;3
0.6207;0.1579;0.6207;0.1579;18;3
0.6552;0.1579;0.6552;0.1579;19;3
0.6897;0.1579;0.6897;0.1579;20;3
0.7241;0.1579;0.7241;0.1579;21;3
0.7586;0.1579;0.7586;0.1579;22;3
0.7931;0.1579;0.7931;0.1579;23;3
0.8276;0.1579;0.8276;0.1579;24;3
0.8621;0.1579;0.8621;0.1579;25;3
0.8966;0.1579;0.8966;0.1579;26;3
0.9310;0.1579;0.9310;0.1579;27;3
0.9655;0.1579;0.9655;0.1579;28;3
1.0000;0.1579;1.0000;0.1579;29;3
0.0000;0.2105;0.0000;0.2105;0;4
0.0345;0.2105;0.0345;0.2105;1;4
0.0690;0.2105;0.0690;0.2105;2;4
0.1034;0.2105;0.1034;0.2105;3;4
0.1379;0.2105;0.1379;0.2105;4;4
0.1724;0.2105;0.1724;0.2105;5;4
0.2069;0.2105;0.2069;0.2105;6;4
0.2414;0.2105;0.2414;0.2105;7;4
0.2759;0.2105;0.2759;0.2105;8;4
0.3103;0.2105;0.3103;0.2105;9;4
0.3448;0.2105;0.3448;0.2105;10;4
0.3793;0.2105;0.3793;0.2105;11;4
0.4138;0.2105;0.4138;0.2105;12;4
0.4483;0.2105;0.4483;0.2105;13;4
0.4828;0.2105;0.4828;0.2105;14;4
0.5172;0.2105;0.5172;0.2105;15;4
0.5517;0.2105;0.5517;0.2105;16;4
0.5862;0.2105;0.5862;0.2105;17;4
0.6207;0.2105;0.6207;0.2105;18;4
0.6552;0.2105;0.6552;0.2105;19;4
0.6897;0.2105;0.6897;0.2105;20;4
0.7241;0.2105;0.7241;0.2105;21;4
0.7586;0.2105;0.7586;0.2105;22;4
0.7931;0.2105;0.7931;0.2105;23;4
0.8276;0.2105;0.8276;0.2105;24;4
0.8621;0.2105;0.8621;0.2105;25;4
0.8966;0.2105;0.8966;0.2105;26;4
0.9310;0.2105;0.9310;0.2105;27;4
0.9655;0.2105;0.9655;0.2105;28;4
1.0000;0.2105;1.0000;0.2105;29;4
0.0000;0.2632;0.0000;0.2632;0;5
0.0345;0.2632;0.0345;0.2632;1;5
0.0690;0.2632;0.0690;0.2632;2;5
0.1034;0.2632;0.1034;0.2632;3;5
0.1379;0.2632;0.1379;0.2632;4;5
0.1724;0.2632;0.1724;0.2632;5;5
0.2069;0.2632;0.2069;0.2632;6;5
0.2414;0.2632;0.2414;0.2632;7;5
0.2759;0.2632;0.2759;0.2632;8;5
0.3103;0.2632;0.3103;0.2632;9;5
0.3448;0.2632;0.3448;0.2632;10;5
0.3793;0.2632;0.3793;0.2632;11;5
0.4138;0.2632;0.4138;0.2632;12;5
0.4483;0.2632;0.4483;0.2632;13;5
0.4828;0.2632;0.4828;0.2632;14;5
0.5172;0.2632;0.5172;0.2632;15;5
0.5517;0.2632;0.5517;0.2632;16;5
0.5862;0.2632;0.5862;0.2632;17;5
0.6207;0.2632;0.6207;0.2632;18;5
0.6552;0.2632;0.6552;0.2632;19;5
0.6897;0.2632;0.6897;0.2632;20;5
0.7241;0.2632;0.7241;0.2632;21;5
0.7586;0.2632;0.7586;0.2632;22;5
0.7931;0.2632;0.7931;0.2632;23;5
0.8276;0.2632;0.8276;0.2632;24;5
0.8621;0.2632;0.8621;0.2632;25;5
0.8966;0.2632;0.8966;0.2632;26;5
0.9310;0.2632;0.9310;0.2632;27;5
0.9655;0.2632;0.9655;0.2632;28;5
1.0000;0.2632;1.0000;0.2632;29;5
0.0000;0.3158;0.0000;0.3158;0;6
0.0345;0.3158;0.0345;0.3158;1;6
0.0690;0.3158;0.0690;0.3158;2;6
0.1034;0.3158;0.1034;0.3158;3;6
0.1379;0.3158;0.1379;0.3158;4;6
0.1724;0.3158;0.1724;0.3158;5;6
0.2069;0.3158;0.2069;0.3158;6;6
0.2414;0.3158;0.2414;0.3158;7;6
0.2759;0.3158;0.2759;0.3158;8;6
0.3103;0.3158;0.3103;0.3158;9;6
0.3448;0.3158;0.3448;0.3158;10;6
0.3793;0.3158;0.3793;0.3158;11;6
0.4138;0.3158;0.4138;0.3158;12;6
