TIME,DISTANCE,MARKERS,SPEED,MOTORRPMFRONT,MOTORRPMREAR,POWERELECTRICALFRONT,POWERELECTRICALREAR,POWERELECTRICALTOTAL,POWERBALANCE,EFFICIENCYFRONT,EFFICIENCYREAR,TORQUEMECHANICALFRONT,TORQUEMECHANICALREAR,TORQUEROTORFRONT,TORQUEROTORREAR
0.006,0.222,3,36.89207,8392.781,7892.599,190.323,380.646,570.969,0.333333,0.949,0.945,205.458,435.446,207.675,431.733
0.008,0.298,3,36.89207,8455.371,8061.641,190.323,380.646,570.969,0.333333,0.949,0.946,204.227,426.873,199.295,425.169
0.028,1.047,0,36.89207,8588.028,7951.006,190.323,380.646,570.969,0.333333,0.95,0.945,201.257,432.492,196.616,427.951
0.048,1.799,0,36.89207,8606.586,8016.628,190.323,380.646,570.969,0.333333,0.95,0.946,200.647,428.988,203.735,431.293
0.068,2.556,0,38.01068,8669.541,8060.014,190.323,380.646,570.969,0.333333,0.951,0.946,199.351,426.838,199.637,429.037
0.088,3.317,0,38.01068,8775.583,8154.796,190.323,380.646,570.969,0.333333,0.951,0.947,197.28,422.073,189.818,428.959
0.108,4.083,0,38.01068,8942.072,8379.239,250,500,750,0.333333,0.952,0.949,254.468,540.452,250.659,549.38
0.128,4.854,0,38.01068,8995.768,8520.872,250,500,750,0.333333,0.953,0.95,252.457,531.271,266.904,562.055
0.148,5.63,0,38.01068,8834.594,8652.376,250,500,750,0.333333,0.952,0.951,256.531,523.684,278.932,554.976
0.168,6.413,0,39.29597,8723.439,8760.02,250,500,750,0.333333,0.951,0.951,259.839,518.014,275.004,538.068
0.188,7.201,0,39.29597,8672.218,8801.03,250,500,750,0.333333,0.951,0.952,261.923,515.802,258.035,534.107
0.208,7.995,0,39.29597,8756.955,8796.259,250,500,750,0.333333,0.951,0.952,259.481,515.224,257.303,559.12
0.228,8.794,0,39.29597,8858.057,8827.921,250,500,750,0.333333,0.952,0.952,256.838,514.647,250.146,523.073
0.248,9.597,0,39.29597,8943.579,8848.666,250,500,750,0.333333,0.952,0.952,254.469,513.572,249.381,520.138
0.268,10.404,0,40.49522,9014.93,8832.877,250,500,750,0.333333,0.953,0.952,252.55,514.478,248,519.773
0.288,11.216,0,40.49522,9062.101,8871.706,250,500,750,0.333333,0.953,0.952,251.247,512.478,248.629,514.05
0.308,12.032,0,40.49522,9129.237,8937.779,250,500,750,0.333333,0.953,0.952,249.549,508.927,245.328,509.825
0.328,12.852,0,40.49522,9236.683,8993.432,250,500,750,0.333333,0.954,0.953,246.826,505.84,241.738,510.371
0.348,13.677,0,40.49522,9321.782,9098.368,250,500,750,0.333333,0.954,0.953,244.689,500.341,239.597,504.479
0.368,14.507,0,41.60102,9424.875,9160,250,500,750,0.333333,0.955,0.954,242.098,496.912,238.69,509.06
0.388,15.341,0,41.60102,9477.362,9201.46,250,500,750,0.333333,0.955,0.954,240.707,494.675,241.365,510.745
0.408,16.179,0,41.60102,9491.171,9236.801,250,500,750,0.333333,0.955,0.954,240.173,492.938,247.839,507.224
0.428,17.023,0,41.60102,9413.637,9262.517,250,500,750,0.333333,0.955,0.954,242.133,491.628,246.95,506.416
0.448,17.872,0,41.60102,9417.37,9266.371,250,500,750,0.333333,0.955,0.954,242.205,491.489,241.443,504.444
0.468,18.726,0,42.821,9434.29,9274.904,250,500,750,0.333333,0.955,0.954,241.637,491.384,246.227,493.536
0.488,19.584,0,42.821,9308.105,9251.222,250,500,750,0.333333,0.954,0.954,244.713,492.485,250.283,497.672
0.508,20.448,0,42.821,9239.463,9258.74,250,500,750,0.333333,0.954,0.954,246.596,492.336,246.805,489.862
0.528,21.317,0,42.821,9293.83,9306.073,250,500,750,0.333333,0.954,0.954,245.425,489.971,239.067,487.204
0.548,22.191,0,42.821,9363.5,9332.233,250,500,750,0.333333,0.955,0.955,243.862,488.61,231.734,487.813
0.568,23.07,0,44.07124,9477.592,9319.003,250,500,750,0.333333,0.955,0.954,240.75,489.378,239.742,484.874
0.588,23.952,0,44.07124,9529.625,9349.529,250,500,750,0.333333,0.956,0.955,239.357,487.95,243.343,480.47
0.608,24.84,0,44.07124,9455.607,9444.189,250,500,750,0.333333,0.955,0.955,241.178,483.226,243.741,478.479
0.628,25.733,0,44.07124,9446.407,9571.66,250,500,750,0.333333,0.955,0.956,241.55,476.962,238.967,477.238
0.648,26.63,0,44.07124,9492.061,9657.562,250,500,750,0.333333,0.955,0.956,240.468,472.584,237.132,485.036
0.668,27.533,0,45.29002,9580.576,9699.148,250,500,750,0.333333,0.956,0.956,238.413,470.538,232.977,487.204
0.688,28.441,0,45.29002,9813.107,9637.988,250,500,750,0.333333,0.957,0.956,233.089,473.888,225.201,472.351
0.708,29.353,0,45.29002,9810.416,9663.978,250,500,750,0.333333,0.957,0.956,232.708,472.795,241.176,466.902
0.728,30.27,0,45.29002,9710.048,9718.212,250,500,750,0.333333,0.956,0.956,235.255,470.324,234.457,462.825
0.748,31.191,0,45.29002,9715.63,9834.028,250,500,750,0.333333,0.956,0.957,235.102,465.66,235.171,435.034
0.768,32.118,0,46.49532,9770.474,9895.762,250,500,750,0.333333,0.957,0.957,234.019,462.022,227.649,463.544
