TIME,DISTANCE,SPEED,POWERELECTRICALTOTAL
0.006,0.222,36.89207,570.969
0.008,0.298,36.89207,570.969
0.028,1.047,36.89207,570.969
0.048,1.799,36.89207,570.969
0.068,2.556,38.01068,570.969
0.088,3.317,38.01068,570.969
0.108,4.083,38.01068,750
0.128,4.854,38.01068,750
0.148,5.63,38.01068,750
0.168,6.413,39.29597,750
0.188,7.201,39.29597,750
0.208,7.995,39.29597,750
0.228,8.794,39.29597,750
0.248,9.597,39.29597,750
0.268,10.404,40.49522,750
0.288,11.216,40.49522,750
0.308,12.032,40.49522,750
0.328,12.852,40.49522,750
0.348,13.677,40.49522,750
0.368,14.507,41.60102,750
0.388,15.341,41.60102,750
0.408,16.179,41.60102,750
0.428,17.023,41.60102,750
0.448,17.872,41.60102,750
0.468,18.726,42.821,750
0.488,19.584,42.821,750
0.508,20.448,42.821,750
0.528,21.317,42.821,750
0.548,22.191,42.821,750
0.568,23.07,44.07124,750
0.588,23.952,44.07124,750
0.608,24.84,44.07124,750
0.628,25.733,44.07124,750
0.648,26.63,44.07124,750
0.668,27.533,45.29002,750
0.688,28.441,45.29002,750
0.708,29.353,45.29002,750
0.728,30.27,45.29002,750
0.748,31.191,45.29002,750
0.768,32.118,46.49532,750
0.788,33.049,46.49532,750
0.808,33.986,46.49532,750
0.828,34.927,46.49532,750
0.848,35.873,46.49532,750
0.868,36.823,47.70866,750
0.888,37.779,47.70866,750
0.908,38.739,47.70866,750
0.928,39.704,47.70866,750
0.948,40.674,47.70866,750
0.968,41.648,48.88792,750
0.988,42.626,48.88792,750
1.008,43.61,48.88792,750
1.028,44.597,48.88792,750
1.048,45.59,48.88792,750
1.068,46.587,50.03048,750
1.088,47.588,50.03048,750
1.108,48.594,50.03048,750
1.128,49.605,50.03048,750
1.148,50.62,50.03048,750
1.168,51.64,51.15945,750
1.188,52.664,51.15945,750
1.208,53.692,51.15945,750
1.228,54.725,51.15945,750
1.248,55.762,51.15945,750
1.268,56.802,52.2328,750
1.288,57.847,52.2328,750
1.308,58.896,52.2328,750
1.328,59.95,52.2328,750
1.348,61.007,52.2328,750
1.368,62.069,53.273,750
1.388,63.135,53.273,750
1.408,64.206,53.273,750
1.428,65.28,53.273,750
1.448,66.359,53.273,750
1.468,67.441,54.30536,750
1.488,68.528,54.30536,750
1.508,69.618,54.30536,750
1.528,70.712,54.30536,750
1.548,71.811,54.30536,750
1.568,72.913,55.28904,750
1.588,74.019,55.28904,750
1.608,75.129,55.28904,750
1.628,76.243,55.28904,750
1.648,77.361,55.28904,750
1.668,78.483,56.25914,750
1.688,79.608,56.25914,750
1.708,80.737,56.25914,750
1.728,81.87,56.25914,750
1.748,83.007,56.25914,750
1.768,84.147,57.19052,750
1.788,85.291,57.19052,750
1.808,86.439,57.19052,750
1.828,87.59,57.19052,750
1.848,88.745,57.19052,750
1.868,89.903,58.09467,750
1.888,91.065,58.09467,750
1.908,92.23,58.09467,750
1.928,93.399,58.09467,750
1.948,94.571,58.09467,750
1.968,95.747,58.9769,750
1.988,96.926,58.9769,750
2.008,98.109,58.9769,750
2.028,99.296,58.9769,750
