TIME,SPEED
0.000,200.0809
0.002,200.1670
0.004,200.2450
0.006,200.2946
0.008,200.3216
0.010,200.3321
0.012,200.3322
0.014,200.3265
0.016,200.3179
0.018,200.3077
0.020,200.2967
0.022,200.2854
0.024,200.2740
0.026,200.2625
0.028,200.2509
0.030,200.2391
0.032,200.2272
0.034,200.2153
0.036,200.2033
0.038,200.1913
0.040,200.1793
0.042,200.1672
0.044,200.1551
0.046,200.1430
0.048,200.1309
0.050,200.1187
0.052,200.1065
0.054,200.0943
0.056,200.0821
0.058,200.0698
0.060,200.0575
0.062,200.0451
0.064,200.0328
0.066,200.0204
0.068,200.0080
0.070,199.9956
0.072,199.9832
0.074,199.9708
0.076,199.9584
0.078,199.9461
0.080,199.9337
0.082,199.9213
0.084,199.9089
0.086,199.8966
0.088,199.8842
0.090,199.8718
0.092,199.8595
0.094,199.8472
0.096,199.8349
0.098,199.8226
0.100,199.8103
0.102,199.7980
0.104,199.7858
0.106,199.7735
0.108,199.7613
0.110,199.7491
0.112,199.7369
0.114,199.7247
0.116,199.7126
0.118,199.7004
0.120,199.6883
0.122,199.6762
0.124,199.6641
0.126,199.6520
0.128,199.6399
0.130,199.6279
0.132,199.6158
0.134,199.6038
0.136,199.5918
0.138,199.5798
0.140,199.5678
0.142,199.5558
0.144,199.5439
0.146,199.5319
0.148,199.5199
0.150,199.5079
0.152,199.4960
0.154,199.4840
0.156,199.4721
0.158,199.4601
0.160,199.4482
0.162,199.4362
0.164,199.4242
0.166,199.4122
0.168,199.4003
0.170,199.3883
0.172,199.3763
0.174,199.3643
0.176,199.3524
0.178,199.3404
0.180,199.3284
0.182,199.3163
0.184,199.3044
0.186,199.2924
0.188,199.2803
0.190,199.2683
0.192,199.2563
0.194,199.2443
0.196,199.2323
0.198,199.2202
0.200,199.2082
0.202,199.1962
0.204,199.1841
0.206,199.1721
0.208,199.1600
0.210,199.1480
0.212,199.1360
0.214,199.1239
0.216,199.1119
0.218,199.0999
0.220,199.0878
0.222,199.0758
0.224,199.0638
0.226,199.0517
0.228,199.0397
0.230,199.0276
0.232,199.0156
0.234,199.0036
0.236,198.9916
0.238,198.9796
0.240,198.9675
0.242,198.9555
0.244,198.9435
0.246,198.9314
0.248,198.9194
0.250,198.9074
0.252,198.8954
0.254,198.8834
0.256,198.8714
0.258,198.8594
0.260,198.8474
0.262,198.8354
